OBJECTID,SEPRID,SEPRTYPE,STATEDAREA,SEPRTYPE2,created_user,created_date,last_edited_user,last_edited_date,Shape__Area,Shape__Length
299,1622701004,Mineral Right,40,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1756009.46582031,5300.93791179627
300,1622701006,Mineral Right,40,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1749810.50463867,5291.54880112344
301,1621701003,Mineral Right,80,10,,,AANDREWS,2018-07-13T19:56:44.000Z,3495974.10327148,7925.79707524681
302,1719701005,Mineral Right,40,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1732662.51074219,5265.74650732399
303,1719701004,Mineral Right,80,10,,,AANDREWS,2018-07-13T19:56:44.000Z,3594243.62011719,8002.37576102971
304,1721701001,Mineral Right,50,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1570732.34692383,5022.02776629075
305,1720701004,Mineral Right,40,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1721090.9921875,5244.69645239646
306,1719701003,Mineral Right,80,10,,,AANDREWS,2018-07-13T19:56:44.000Z,3637216.38598633,8037.62514389144
307,1720701007,Mineral Right,80,10,,,AANDREWS,2018-07-13T19:56:44.000Z,3480239.43261719,7923.91539767154
308,1621701006,Mineral Right,80,10,,,AANDREWS,2018-07-13T19:56:44.000Z,3514337.71899414,7972.50151721295
309,1624701004,Mineral Right,40,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1770308.07421875,5326.25883116703
310,1622701003,Mineral Right,40,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1733520.94555664,5266.69123482309
311,1621701001,Mineral Right,80,10,,,AANDREWS,2018-07-13T19:56:44.000Z,3486696.54345703,7921.12736564756
312,1622701005,Mineral Right,40,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1747427.54931641,5287.95306951154
313,1624701003,Mineral Right,80,10,,,AANDREWS,2018-07-13T19:56:44.000Z,3482487.27075195,7913.16123524885
314,1719701001,Mineral Right,10,10,,,AANDREWS,2018-07-13T19:56:44.000Z,437413.864013672,2645.75635293245
315,1723701001,Mineral Right,0,10,,,AANDREWS,2018-07-13T19:56:44.000Z,16712.7934570313,675.019804177383
316,1719701002,Mineral Right,40,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1772653.91088867,5325.98100487598
317,1720701002,Mineral Right,40,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1756504.81054688,5301.86004171287
318,1720701003,Mineral Right,30,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1283728.21655273,4578.05115452921
319,1720701006,Mineral Right,80,10,,,AANDREWS,2018-07-13T19:56:44.000Z,3431131.28100586,7877.60402856168
320,1622701007,Mineral Right,40,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1728374.92041016,5259.69435914761
321,1622701008,Mineral Right,40,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1764078.10546875,5312.92239338227
322,1620701003,Mineral Right,10,10,,,AANDREWS,2018-07-13T19:56:44.000Z,423671.872802734,3227.91724321295
