OBJECTID,DIVDSGNTR,BLKDSGNTR,DIVTYP,STATEDAREA,created_user,created_date,last_edited_user,last_edited_date,Shape__Area,Shape__Length
180,Public Right Of Way,,Public Right Of Way,0.8131 a,,,AANDREWS,2018-07-13T19:57:02.000Z,35508.6413574219,1511.87881522704
181,Public Right Of Way,,Public Right Of Way,0.8633 a,,,AANDREWS,2018-07-13T19:57:02.000Z,37605.35546875,1960.36970724667
182,Public Right Of Way,,Public Right Of Way,2.178 a,,,AANDREWS,2018-07-13T19:57:02.000Z,94879.3591308594,7212.91981221449
183,Public Right Of Way,,Public Right Of Way,8.022 a,,,AANDREWS,2018-07-13T19:57:02.000Z,349484.214355469,13552.1624137612
184,Public Right Of Way,,Public Right Of Way,3.708 a,,,AANDREWS,2018-07-13T19:57:02.000Z,161515.200927734,6564.87174256012
185,Public Right Of Way,,Public Right Of Way,1.249 a,,,AANDREWS,2018-07-13T19:57:02.000Z,54399.1787109375,1520.4404133261
186,Public Right Of Way,,Public Right Of Way,21.94 a,,,AANDREWS,2018-07-13T19:57:02.000Z,955627.923583984,9604.74037230229
187,Public Right Of Way,,Public Right Of Way,37.54 a,,,AANDREWS,2018-07-13T19:57:02.000Z,1635313.33276367,19790.6150073026
188,Public Right Of Way,,Public Right Of Way,0.7248 a,,,AANDREWS,2018-07-13T19:57:02.000Z,31579.9643554688,1556.67217463296
189,Public Right Of Way,,Public Right Of Way,0.5228 a,,,AANDREWS,2018-07-13T19:57:02.000Z,22771.3977050781,750.083537736592
190,Public Right Of Way,,Public Right Of Way,3.025 a,,,AANDREWS,2018-07-13T19:57:02.000Z,131673.089355469,4461.29005742809
191,Public Right Of Way,,Public Right Of Way,0.1732 a,,,AANDREWS,2018-07-13T19:57:02.000Z,7545.84350585938,653.557484154382
192,Public Right Of Way,,Public Right Of Way,3.325 a,,,AANDREWS,2018-07-13T19:57:02.000Z,144840.998779297,1944.25547928032
193,Public Right Of Way,,Public Right Of Way,8.827 a,,,AANDREWS,2018-07-13T19:57:02.000Z,384381.805908203,14742.4552730094
194,Public Right Of Way,,Public Right Of Way,18.65 a,,,AANDREWS,2018-07-13T19:57:02.000Z,812407.43359375,37640.5567755098
195,Public Right Of Way,,Public Right Of Way,26.10 a,,,AANDREWS,2018-07-13T19:57:02.000Z,1137144.11132813,56923.8796254198
196,Public Right Of Way,,Public Right Of Way,4.837 a,,,AANDREWS,2018-07-13T19:57:02.000Z,210683.531005859,12574.7993084818
